order_id,timestamp,day_of_week,hour,weather,is_outlier_event,is_finals_week,is_pre_finals,is_quarter_start,group_size,personality_type,category,drink_name,base,liquid,latte_flavor,size,milk,syrup,extra_shot,extra_hot,cold_foam,whipped_cream,iced,food_pairing,soft_serve_active,prep_time_sec,cleaning_time_sec,total_service_time
0,2026-01-02 08:08:00,Friday,8,rainy,0,0,0,0,1,rushed_professional,espresso,americano,,,,grande,none,none,0,0,0,0,1,0,0,45,10,55
1,2026-01-02 17:42:00,Friday,17,rainy,0,0,0,0,3,rushed_professional,espresso,cappuccino,,,,grande,whole,vanilla,0,0,0,0,0,1,0,45,10,55
2,2026-01-02 10:48:00,Friday,10,rainy,0,0,0,0,2,sunny_social,latte,vanilla_latte,,,vanilla,grande,oat,vanilla,0,0,1,0,1,0,0,90,25,115
3,2026-01-02 18:45:00,Friday,18,rainy,0,0,0,0,3,chill_studious,latte,pumpkin_spice_latte,,,pumpkin_spice,grande,whole,pumpkin_spice,0,0,0,0,0,0,0,90,25,115
4,2026-01-02 10:59:00,Friday,10,rainy,0,0,0,0,2,moody_intense,latte,hazelnut_latte,,,hazelnut,grande,oat,hazelnut,1,1,0,0,0,0,0,90,25,115
5,2026-01-02 10:09:00,Friday,10,rainy,0,0,0,0,1,rushed_professional,latte,irish_cream_latte,,,irish_cream,tall,whole,irish_cream,1,0,0,0,0,0,0,90,25,115
6,2026-01-02 14:55:00,Friday,14,rainy,0,0,0,0,1,chill_studious,latte,vanilla_latte,,,vanilla,venti,whole,vanilla,0,0,0,0,0,1,0,90,25,115
7,2026-01-02 08:41:00,Friday,8,rainy,0,0,0,0,1,rushed_professional,coffee,iced_coffee,,,,grande,almond,none,1,0,0,0,1,0,0,20,5,25
8,2026-01-02 15:48:00,Friday,15,rainy,0,0,0,0,2,moody_intense,coffee,drip_coffee,,,,grande,none,none,0,1,0,0,1,0,0,20,5,25
9,2026-01-02 15:23:00,Friday,15,rainy,0,0,0,0,1,cozy_comfort,latte,chai_latte,,,chai,grande,whole,chai,0,0,1,0,0,1,0,90,25,115
10,2026-01-02 20:41:00,Friday,20,rainy,0,0,0,0,2,rushed_professional,coffee,iced_coffee,,,,venti,whole,cinnamon_dolce,0,0,0,0,1,1,0,20,5,25
11,2026-01-02 17:07:00,Friday,17,rainy,0,0,0,0,2,chill_studious,food,banana_bread,,,,grande,whole,cinnamon_dolce,0,0,0,0,0,0,0,10,0,10
12,2026-01-02 18:26:00,Friday,18,rainy,0,0,0,0,3,moody_intense,espresso,cortado,,,,tall,none,none,0,1,0,0,0,1,0,45,10,55
13,2026-01-02 19:46:00,Friday,19,rainy,0,0,0,0,2,chill_studious,tea,english_breakfast_tea,,,,grande,none,none,0,0,0,0,1,0,0,25,5,30
14,2026-01-02 16:56:00,Friday,16,rainy,0,0,0,0,1,chill_studious,food,banana_bread,,,,venti,oat,sugar_free_vanilla,0,0,0,0,1,0,0,10,0,10
15,2026-01-02 18:04:00,Friday,18,rainy,0,0,0,0,1,chill_studious,food,bagel,,,,tall,whole,sugar_free_vanilla,0,0,0,0,1,1,0,10,0,10
16,2026-01-02 16:47:00,Friday,16,rainy,0,0,0,0,1,adventurous,espresso,mocha,,,,grande,oat,cinnamon_dolce,0,0,0,1,1,0,0,45,10,55
17,2026-01-02 10:08:00,Friday,10,rainy,0,0,0,0,1,chill_studious,espresso,cappuccino,,,,tall,oat,hazelnut,0,0,0,0,1,0,0,45,10,55
18,2026-01-02 12:54:00,Friday,12,rainy,0,0,0,0,2,chill_studious,coffee,drip_coffee,,,,venti,none,none,0,0,0,0,0,0,0,20,5,25
19,2026-01-02 09:15:00,Friday,9,rainy,0,0,0,0,1,sunny_social,latte,caramel_brule_latte,,,caramel_brule,grande,whole,caramel_brule,0,0,0,0,1,0,0,90,25,115
20,2026-01-02 13:13:00,Friday,13,rainy,0,0,0,0,3,chill_studious,refresher,strawberry_acai_water,strawberry_acai,water,,venti,whole,vanilla,0,0,0,0,1,0,0,40,25,65
21,2026-01-02 18:01:00,Friday,18,rainy,0,0,0,0,2,moody_intense,espresso,espresso_shot,,,,grande,none,none,1,0,0,0,0,0,0,45,10,55
22,2026-01-02 07:24:00,Friday,7,rainy,0,0,0,0,2,rushed_professional,espresso,cappuccino,,,,grande,whole,toffee_nut,1,0,0,0,0,0,0,45,10,55
23,2026-01-02 18:27:00,Friday,18,rainy,0,0,0,0,1,chill_studious,latte,matcha_latte,,,matcha,tall,oat,matcha,0,0,1,0,0,0,0,90,25,115
24,2026-01-02 08:48:00,Friday,8,rainy,0,0,0,0,1,moody_intense,coffee,iced_coffee,,,,tall,oat,none,0,0,0,0,1,0,0,20,5,25
25,2026-01-02 19:05:00,Friday,19,rainy,0,0,0,0,2,chill_studious,latte,pumpkin_spice_latte,,,pumpkin_spice,grande,almond,pumpkin_spice,0,0,0,0,1,0,0,90,25,115
26,2026-01-02 21:57:00,Friday,21,rainy,0,0,0,0,1,chill_studious,food,bagel,,,,venti,oat,hazelnut,0,0,0,0,0,0,0,10,0,10
27,2026-01-02 21:10:00,Friday,21,rainy,0,0,0,0,1,moody_intense,espresso,cortado,,,,tall,none,none,1,0,0,0,1,0,0,45,10,55
28,2026-01-02 18:25:00,Friday,18,rainy,0,0,0,0,2,rushed_professional,espresso,flat_white,,,,grande,whole,toffee_nut,1,0,0,0,0,0,0,45,10,55
29,2026-01-02 18:34:00,Friday,18,rainy,0,0,0,0,1,adventurous,tea,iced_green_tea,,,,tall,none,none,0,0,0,0,1,0,0,25,5,30
30,2026-01-02 09:31:00,Friday,9,rainy,0,0,0,0,1,rushed_professional,espresso,cappuccino,,,,grande,whole,cinnamon_dolce,0,0,0,0,0,0,0,45,10,55
31,2026-01-02 18:15:00,Friday,18,rainy,0,0,0,0,4,rushed_professional,coffee,drip_coffee,,,,venti,none,none,0,0,0,0,1,0,0,20,5,25
32,2026-01-02 10:50:00,Friday,10,rainy,0,0,0,0,2,rushed_professional,espresso,flat_white,,,,venti,oat,vanilla,1,0,0,0,0,0,0,45,10,55
33,2026-01-02 10:30:00,Friday,10,rainy,0,0,0,0,1,moody_intense,espresso,cortado,,,,tall,none,none,0,0,0,0,1,0,0,45,10,55
34,2026-01-02 16:48:00,Friday,16,rainy,0,0,0,0,2,rushed_professional,espresso,americano,,,,grande,none,none,0,0,0,0,1,0,0,45,10,55
